Method,Name,Error,Occurrences
POST,/loginAction?username=81&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=81&password=password'),4
GET,/category?page=2&category=2,HTTPError('404 Client Error:  for url: /category?page=2&category=2'),71
GET,/category?page=5&category=5,HTTPError('404 Client Error:  for url: /category?page=5&category=5'),56
POST,/loginAction?username=27&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=27&password=password'),5
POST,/loginAction?username=86&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=86&password=password'),3
POST,/loginAction?username=70&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=70&password=password'),3
POST,/loginAction?username=29&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=29&password=password'),9
POST,/loginAction?username=63&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=63&password=password'),4
POST,/loginAction?username=46&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=46&password=password'),9
POST,/loginAction?username=36&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=36&password=password'),7
POST,/loginAction?username=3&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=3&password=password'),6
POST,/loginAction?username=30&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=30&password=password'),5
GET,/category?page=3&category=5,HTTPError('404 Client Error:  for url: /category?page=3&category=5'),70
POST,/loginAction?username=62&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=62&password=password'),9
POST,/loginAction?username=91&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=91&password=password'),7
POST,/loginAction?username=51&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=51&password=password'),9
POST,/loginAction?username=37&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=37&password=password'),8
POST,/loginAction?username=11&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=11&password=password'),10
POST,/loginAction?username=5&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=5&password=password'),4
POST,/loginAction?username=4&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=4&password=password'),10
POST,/loginAction?username=28&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=28&password=password'),11
POST,/loginAction?username=92&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=92&password=password'),7
POST,/loginAction?username=61&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=61&password=password'),6
POST,/loginAction?username=69&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=69&password=password'),7
GET,/category?page=1&category=6,HTTPError('404 Client Error:  for url: /category?page=1&category=6'),67
POST,/loginAction?username=9&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=9&password=password'),7
POST,/loginAction?username=73&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=73&password=password'),4
POST,/loginAction?username=66&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=66&password=password'),8
POST,/loginAction?username=79&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=79&password=password'),2
POST,/loginAction?username=15&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=15&password=password'),10
POST,/loginAction?username=44&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=44&password=password'),10
POST,/cartAction?firstname=User&lastname=User&adress1=Road&adress2=City&cardtype=volvo&cardnumber=314159265359&expirydate=12%2F2050&confirm=Confirm,HTTPError('404 Client Error:  for url: /cartAction?firstname=User&lastname=User&adress1=Road&adress2=City&cardtype=volvo&cardnumber=314159265359&expirydate=12%2F2050&confirm=Confirm'),289
POST,/loginAction?username=23&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=23&password=password'),8
POST,/loginAction?username=65&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=65&password=password'),5
POST,/loginAction?username=42&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=42&password=password'),9
POST,/loginAction?username=72&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=72&password=password'),6
GET,/category?page=2&category=4,HTTPError('404 Client Error:  for url: /category?page=2&category=4'),71
POST,/loginAction?username=54&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=54&password=password'),6
POST,/loginAction?username=19&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=19&password=password'),4
POST,/loginAction?username=77&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=77&password=password'),5
GET,/category?page=2&category=6,HTTPError('404 Client Error:  for url: /category?page=2&category=6'),59
GET,/category?page=5&category=6,HTTPError('404 Client Error:  for url: /category?page=5&category=6'),71
POST,/loginAction?username=17&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=17&password=password'),8
POST,/loginAction?username=45&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=45&password=password'),6
GET,/category?page=2&category=5,HTTPError('404 Client Error:  for url: /category?page=2&category=5'),56
GET,/category?page=1&category=2,HTTPError('404 Client Error:  for url: /category?page=1&category=2'),84
POST,/loginAction?username=32&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=32&password=password'),4
POST,/loginAction?username=84&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=84&password=password'),5
POST,/loginAction?username=6&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=6&password=password'),10
POST,/loginAction?username=98&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=98&password=password'),9
POST,/loginAction?username=83&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=83&password=password'),4
POST,/loginAction?username=52&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=52&password=password'),4
POST,/loginAction?username=56&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=56&password=password'),6
GET,/category?page=1&category=3,HTTPError('404 Client Error:  for url: /category?page=1&category=3'),62
POST,/loginAction?username=58&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=58&password=password'),3
POST,/loginAction?username=47&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=47&password=password'),6
GET,/category?page=3&category=6,HTTPError('404 Client Error:  for url: /category?page=3&category=6'),62
GET,/login,HTTPError('404 Client Error:  for url: /login'),655
GET,/category?page=3&category=2,HTTPError('404 Client Error:  for url: /category?page=3&category=2'),71
POST,/loginAction?username=74&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=74&password=password'),4
POST,/loginAction?username=82&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=82&password=password'),8
POST,/loginAction?username=40&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=40&password=password'),8
GET,/category?page=5&category=4,HTTPError('404 Client Error:  for url: /category?page=5&category=4'),59
POST,/loginAction?username=57&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=57&password=password'),6
GET,/category?page=1&category=4,HTTPError('404 Client Error:  for url: /category?page=1&category=4'),58
POST,/loginAction?username=2&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=2&password=password'),8
POST,/loginAction?username=59&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=59&password=password'),4
POST,/loginAction?username=20&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=20&password=password'),11
GET,/profile,HTTPError('404 Client Error:  for url: /profile'),654
POST,/loginAction?username=60&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=60&password=password'),9
POST,/loginAction?username=55&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=55&password=password'),8
POST,/loginAction?username=48&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=48&password=password'),10
POST,/loginAction?username=26&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=26&password=password'),8
POST,/loginAction?username=96&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=96&password=password'),7
POST,/loginAction?username=8&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=8&password=password'),11
POST,/loginAction?username=80&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=80&password=password'),8
POST,/loginAction?username=16&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=16&password=password'),1
POST,/loginAction?username=89&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=89&password=password'),6
GET,/category?page=5&category=2,HTTPError('404 Client Error:  for url: /category?page=5&category=2'),67
POST,/loginAction?username=18&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=18&password=password'),6
POST,/loginAction?username=50&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=50&password=password'),5
POST,/loginAction?username=25&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=25&password=password'),6
POST,/loginAction?username=38&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=38&password=password'),3
POST,/loginAction?username=76&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=76&password=password'),14
POST,/loginAction?username=64&password=password,HTTPError('404 Client Error:  for url: /loginAction?username=64&password=password'),6
GET,/category?page=2&category=3,HTTPError('404 Client Error:  for url: /category?page=2&category=3'),79
